Login,Action_num,Action_zone,Action_type,Action_time,Duration,Action_area
М201БФИЗ053,1,ZoneApp,Pause,1639843747,178,AppPause
М201БФИЗ053,2,ZoneApp,Resume,1639843925,153,AppResume
М201БФИЗ053,3,ZoneReqEngine1,Click,1639844078,204,Request
М201БФИЗ053,4,ZoneReqEngine1,Click,1639844282,2,Request
М201БФИЗ053,5,ZoneReqText1,Click,1639844284,2,Request
М201БФИЗ053,6,ZoneApp,Pause,1639844286,30,AppPause
М201БФИЗ053,7,ZoneApp,Resume,1639844316,13,AppResume
М201БФИЗ053,8,ZoneArgSource1,Click,1639844329,4,Argument
М201БФИЗ053,9,ZoneArgRadio1,Click,1639844333,1,Argument
М201БФИЗ053,10,ZoneArgRadio1,Click,1639844334,8,Argument
М201БФИЗ053,11,ZoneArgSource1,Click,1639844342,1,Argument
М201БФИЗ053,12,ZoneArgText1,Click,1639844343,6,Argument
М201БФИЗ053,13,ZoneApp,Pause,1639844349,65,AppPause
М201БФИЗ053,14,ZoneApp,Resume,1639844414,4,AppResume
М201БФИЗ053,15,ZoneEssayText,Click,1639844418,21,Essay
М201БФИЗ053,16,ZoneEssaySourceButton,Click,1639844439,24,Essay
М201БФИЗ053,17,ZoneSourceMessageOk,Click,1639844463,5,Source
М201БФИЗ053,18,ZoneEssayText,Click,1639844468,3,Essay
М201БФИЗ053,19,ZoneEssaySourceButton,Click,1639844471,1,Essay
М201БФИЗ053,20,ZoneSourceMessageOk,Click,1639844472,3,Source
М201БФИЗ053,21,ZoneReqText1,Click,1639844475,4,Request
М201БФИЗ053,22,ZoneEssayText,Click,1639844479,4,Essay
М201БФИЗ053,23,ZoneEssayText,Click,1639844483,2,Essay
М201БФИЗ053,24,ZoneEssaySourceButton,Click,1639844485,1,Essay
М201БФИЗ053,25,ZoneSourcePopupLink,Click,1639844486,4,Source
М201БФИЗ053,26,ZoneApp,Pause,1639844490,2,AppPause
М201БФИЗ053,27,ZoneApp,Resume,1639844492,10,AppResume
М201БФИЗ053,28,ZoneSourcePopupAdd,Click,1639844502,3,Source
М201БФИЗ053,29,ZoneEssayText,Click,1639844505,4,Essay
М201БФИЗ053,30,ZoneEssaySourceButton,Click,1639844509,2,Essay
М201БФИЗ053,31,ZoneSourceMessageOk,Click,1639844511,2,Source
М201БФИЗ053,32,ZoneReqText1,Click,1639844513,3,Request
М201БФИЗ053,33,ZoneApp,Pause,1639844516,1,AppPause
М201БФИЗ053,34,ZoneApp,Resume,1639844517,4,AppResume
М201БФИЗ053,35,ZoneReqText1,Click,1639844521,1,Request
М201БФИЗ053,36,ZoneEndButton,Click,1639844522,2,End
М201БФИЗ053,37,ZoneEndPopupYes,Click,1639844524,3,End
М201БФИЗ053,38,,,1639844527,0,
М211ББИИН004,1,ZoneReqEngine1,Click,1639841364,28,Request
М211ББИИН004,2,ZoneReqEngine1,Click,1639841392,2,Request
М211ББИИН004,3,ZoneReqText1,Click,1639841394,1,Request
М211ББИИН004,4,ZoneArgText1,Click,1639841395,5,Argument
М211ББИИН004,5,ZoneApp,Pause,1639841400,8,AppPause
М211ББИИН004,6,ZoneApp,Resume,1639841408,1,AppResume
М211ББИИН004,7,ZoneReqText1,Click,1639841409,2,Request
М211ББИИН004,8,ZoneApp,Pause,1639841411,1,AppPause
М211ББИИН004,9,ZoneApp,Resume,1639841412,9,AppResume
М211ББИИН004,10,ZoneApp,Pause,1639841421,1,AppPause
М211ББИИН004,11,ZoneApp,Resume,1639841422,107,AppResume
М211ББИИН004,12,ZoneReqText1,Click,1639841529,3,Request
М211ББИИН004,13,ZoneArgSource1,Click,1639841532,18,Argument
М211ББИИН004,14,ZoneArgSource1,Click,1639841550,1,Argument
М211ББИИН004,15,ZoneArgRadio1,Click,1639841551,1,Argument
М211ББИИН004,16,ZoneArgRadio1,Click,1639841552,1,Argument
М211ББИИН004,17,ZoneArgRadio1,Click,1639841553,2,Argument
М211ББИИН004,18,ZoneReqText1,Click,1639841555,2,Request
М211ББИИН004,19,ZoneArgText1,Click,1639841557,36,Argument
М211ББИИН004,20,ZoneApp,Pause,1639841593,52,AppPause
М211ББИИН004,21,ZoneApp,Resume,1639841645,9,AppResume
М211ББИИН004,22,ZoneArgSource1,Click,1639841654,1,Argument
М211ББИИН004,23,ZoneEssayText,Click,1639841655,5,Essay
М211ББИИН004,24,ZoneEssayText,Click,1639841660,5,Essay
М211ББИИН004,25,ZoneEssayText,Click,1639841665,1,Essay
М211ББИИН004,26,ZoneEssayText,Click,1639841666,0,Essay
М211ББИИН004,27,ZoneEndButton,Click,1639841666,155,End
М211ББИИН004,28,ZoneEndPopupYes,Click,1639841821,2,End
М211ББИИН004,29,,,1639841823,0,
М211ББИИН005,1,ZoneReqText1,Click,1639846896,4,Request
М211ББИИН005,2,ZoneReqEngine1,Click,1639846900,75,Request
М211ББИИН005,3,ZoneReqEngine1,Click,1639846975,1,Request
М211ББИИН005,4,ZoneReqText1,Click,1639846976,0,Request
М211ББИИН005,5,ZoneArgText1,Click,1639846976,2,Argument
М211ББИИН005,6,ZoneArgSource1,Click,1639846978,4,Argument
М211ББИИН005,7,ZoneArgText1,Click,1639846982,0,Argument
М211ББИИН005,8,ZoneReqText1,Click,1639846982,1,Request
М211ББИИН005,9,ZoneApp,Pause,1639846983,83,AppPause
М211ББИИН005,10,ZoneApp,Resume,1639847066,48,AppResume
М211ББИИН005,11,ZoneReqText1,Click,1639847114,1,Request
М211ББИИН005,12,ZoneReqText1,Click,1639847115,3,Request
М211ББИИН005,13,ZoneReqText1,Click,1639847118,0,Request
М211ББИИН005,14,ZoneApp,Pause,1639847118,9,AppPause
М211ББИИН005,15,ZoneApp,Resume,1639847127,10,AppResume
М211ББИИН005,16,ZoneApp,Pause,1639847137,8,AppPause
М211ББИИН005,17,ZoneApp,Resume,1639847145,16,AppResume
М211ББИИН005,18,ZoneEssayText,Click,1639847161,3,Essay
М211ББИИН005,19,ZoneReqText1,Click,1639847164,78,Request
М211ББИИН005,20,ZoneArgText1,Click,1639847242,7,Argument
М211ББИИН005,21,ZoneArgText1,Click,1639847249,1,Argument
М211ББИИН005,22,ZoneArgText1,Click,1639847250,1,Argument
М211ББИИН005,23,ZoneArgText1,Click,1639847251,1,Argument
М211ББИИН005,24,ZoneArgSource1,Click,1639847252,1,Argument
М211ББИИН005,25,ZoneArgText1,Click,1639847253,4,Argument
М211ББИИН005,26,ZoneArgSource1,Click,1639847257,11,Argument
